series_name,timestamp,value,p5_14,p10_14,p25_14,p50_14,p75_14,p90_14,p95_14
price,2010-07-31 00:00:00+00:00,0.0664,0.051775,0.053,0.05695,0.06215,0.071025,0.07782,0.08095999999999999
price,2010-08-01 00:00:00+00:00,0.0611,0.053,0.054079999999999996,0.058025,0.06484999999999999,0.07105,0.07782,0.08095999999999999
price,2010-08-02 00:00:00+00:00,0.0613,0.053,0.054079999999999996,0.058025,0.06295,0.066375,0.07782,0.08095999999999999
price,2010-08-03 00:00:00+00:00,0.06,0.053,0.054079999999999996,0.058025,0.061200000000000004,0.06595,0.07361000000000001,0.07726
price,2010-08-04 00:00:00+00:00,0.0597,0.053,0.054079999999999996,0.058025,0.06055,0.064875,0.06637,0.070005
price,2010-08-05 00:00:00+00:00,0.0596,0.053,0.054079999999999996,0.058025,0.05985,0.063925,0.06588,0.066335
price,2010-08-06 00:00:00+00:00,0.0622,0.053,0.054079999999999996,0.058025,0.05965,0.06125,0.06585,0.066335
price,2010-08-07 00:00:00+00:00,0.0599,0.053,0.0545,0.05845,0.05985,0.061975,0.06585,0.066335
price,2010-08-08 00:00:00+00:00,0.06,0.053,0.0545,0.059524999999999995,0.05995,0.061975,0.06585,0.066335
price,2010-08-09 00:00:00+00:00,0.066,0.05625,0.05845,0.059625,0.06,0.061975,0.06585,0.066335
price,2010-08-10 00:00:00+00:00,0.069,0.058975,0.05953,0.059750000000000004,0.06055,0.06415,0.06621,0.066335
price,2010-08-11 00:00:00+00:00,0.0635,0.059565,0.05963,0.059925,0.061200000000000004,0.06570000000000001,0.06637,0.06731
price,2010-08-12 00:00:00+00:00,0.069,0.059665,0.05976,0.06,0.06175,0.06570000000000001,0.06637,0.06731
price,2010-08-13 00:00:00+00:00,0.0655,0.059665,0.05976,0.06,0.06175,0.066225,0.06822,0.069
price,2010-08-14 00:00:00+00:00,0.0663,0.059665,0.05976,0.06,0.06175,0.065875,0.06822,0.069
price,2010-08-15 00:00:00+00:00,0.0661,0.059665,0.05976,0.06,0.06175,0.065875,0.06819,0.069
price,2010-08-16 00:00:00+00:00,0.0643,0.059665,0.05976,0.06,0.06285,0.06607500000000001,0.06819,0.069
price,2010-08-17 00:00:00+00:00,0.0678,0.059665,0.05976,0.06,0.0639,0.06607500000000001,0.06819,0.069
price,2010-08-18 00:00:00+00:00,0.069,0.059665,0.05976,0.06055,0.0649,0.06625,0.06864,0.069
price,2010-08-19 00:00:00+00:00,0.0673,0.059795,0.059930000000000004,0.062525,0.06575,0.067425,0.069,0.069
price,2010-08-20 00:00:00+00:00,0.0661,0.059965,0.06066,0.0637,0.06605,0.067675,0.069,0.069
price,2010-08-21 00:00:00+00:00,0.066,0.059965,0.06105,0.06459999999999999,0.0661,0.067675,0.069,0.069
price,2010-08-22 00:00:00+00:00,0.0655,0.062275,0.06374,0.065625,0.0661,0.067675,0.069,0.069
price,2010-08-23 00:00:00+00:00,0.0655,0.06402,0.06466,0.065625,0.0661,0.067675,0.069,0.069
price,2010-08-24 00:00:00+00:00,0.065,0.06402,0.06466,0.0655,0.0661,0.067675,0.069,0.069
price,2010-08-25 00:00:00+00:00,0.0656,0.06402,0.06451,0.0655,0.06605,0.06705,0.06864,0.069
price,2010-08-26 00:00:00+00:00,0.0644,0.06475500000000001,0.06515,0.0655,0.06605,0.06705,0.06864,0.069
price,2010-08-27 00:00:00+00:00,0.0645,0.06436499999999999,0.06458,0.0655,0.0658,0.06625,0.06765,0.06822
price,2010-08-28 00:00:00+00:00,0.0646,0.06436499999999999,0.06443,0.065125,0.0658,0.06625,0.06765,0.06822
price,2010-08-29 00:00:00+00:00,0.0644,0.06436499999999999,0.06443,0.06470000000000001,0.06555,0.0661,0.06765,0.06822
price,2010-08-30 00:00:00+00:00,0.0648,0.06436499999999999,0.0644,0.064525,0.0655,0.06607500000000001,0.06765,0.06822
price,2010-08-31 00:00:00+00:00,0.0621,0.0644,0.06443,0.06465,0.0655,0.06607500000000001,0.06765,0.06822
price,2010-09-01 00:00:00+00:00,0.0625,0.063595,0.0644,0.064525,0.06525,0.0659,0.06694,0.067895
price,2010-09-02 00:00:00+00:00,0.0622,0.06236,0.06307,0.064425,0.0649,0.06557500000000001,0.06607,0.06652000000000001
