series_name,timestamp,value,min_30,mean_30,max_30
T1,1969-01-31 00:00:00+00:00,9692.0,8390.0,9472.8,10474.0
T1,1969-02-01 00:00:00+00:00,9130.0,8390.0,9513.0,10474.0
T1,1969-02-02 00:00:00+00:00,8814.0,8390.0,9517.266666666666,10474.0
T1,1969-02-03 00:00:00+00:00,9988.0,8390.0,9493.0,10474.0
T1,1969-02-04 00:00:00+00:00,9996.0,8390.0,9527.266666666666,10474.0
T1,1969-02-05 00:00:00+00:00,9676.0,8450.0,9580.8,10474.0
T1,1969-02-06 00:00:00+00:00,9728.0,8450.0,9584.666666666666,10474.0
T1,1969-02-07 00:00:00+00:00,10102.0,8450.0,9584.333333333334,10474.0
T1,1969-02-08 00:00:00+00:00,9262.0,8450.0,9596.6,10474.0
T1,1969-02-09 00:00:00+00:00,8694.0,8450.0,9590.866666666667,10474.0
T1,1969-02-10 00:00:00+00:00,9954.0,8450.0,9545.933333333332,10474.0
T1,1969-02-11 00:00:00+00:00,9856.0,8450.0,9571.8,10474.0
T1,1969-02-12 00:00:00+00:00,10008.0,8568.0,9618.666666666666,10474.0
T1,1969-02-13 00:00:00+00:00,9606.0,8568.0,9624.466666666667,10474.0
T1,1969-02-14 00:00:00+00:00,10354.0,8568.0,9599.133333333333,10474.0
T1,1969-02-15 00:00:00+00:00,9310.0,8568.0,9614.466666666667,10474.0
T1,1969-02-16 00:00:00+00:00,8534.0,8568.0,9602.733333333334,10474.0
T1,1969-02-17 00:00:00+00:00,9822.0,8534.0,9554.733333333334,10474.0
T1,1969-02-18 00:00:00+00:00,10176.0,8534.0,9571.733333333334,10474.0
T1,1969-02-19 00:00:00+00:00,9816.0,8534.0,9623.533333333333,10474.0
T1,1969-02-20 00:00:00+00:00,9982.0,8534.0,9623.8,10474.0
T1,1969-02-21 00:00:00+00:00,9916.0,8534.0,9607.4,10354.0
T1,1969-02-22 00:00:00+00:00,9152.0,8534.0,9608.466666666667,10354.0
T1,1969-02-23 00:00:00+00:00,8704.0,8534.0,9598.4,10354.0
T1,1969-02-24 00:00:00+00:00,9966.0,8534.0,9561.933333333332,10354.0
T1,1969-02-25 00:00:00+00:00,10566.0,8534.0,9593.4,10354.0
T1,1969-02-26 00:00:00+00:00,10048.0,8534.0,9660.0,10566.0
T1,1969-02-27 00:00:00+00:00,9618.0,8534.0,9664.6,10566.0
T1,1969-02-28 00:00:00+00:00,9756.0,8534.0,9650.8,10566.0
T1,1969-03-01 00:00:00+00:00,9186.0,8534.0,9663.333333333334,10566.0
T1,1969-03-02 00:00:00+00:00,8580.0,8534.0,9647.066666666668,10566.0
T1,1969-03-03 00:00:00+00:00,10068.0,8534.0,9610.0,10566.0
